"""","出荷先府県別_砕石出荷量_総数(千ﾄﾝ)","砕石出荷量_県内(千ﾄﾝ)","砕石出荷量_大阪府(千ﾄﾝ)","砕石出荷量_奈良県(千ﾄﾝ)","砕石出荷量_兵庫県(千ﾄﾝ)","事業所数","用途別_砕石出荷量_総数(千ﾄﾝ)","砕石出荷量_道路用(千ﾄﾝ)","砕石出荷量_ｺﾝｸﾘ-ﾄ用(千ﾄﾝ)","砕石出荷量_その他(千ﾄﾝ)"
"平成 7年(1995年)","5502.0","3733.0","1697.0","72.0","0.0","11.0","5483.8","1855.4","2461.4","1167.0"
"平成12年(2000年)","3944.0","2753.0","1116.0","77.0","0.0","8.0","3944.0","1214.0","1993.0","739.0"
"平成17年(2005年)","2146.0","1334.0","685.0","98.0","29.0","7.0","2144.0","705.0","1116.0","324.0"
"","","","","","","","","","",""
"平成21年(2009年)","1355.0","1007.0","188.0","160.0","0.0","5.0","1364.0","517.0","537.0","310.0"
"平成22年(2010年)","1077.0","859.0","102.0","117.0","0.0","4.0","1088.0","515.0","340.0","233.0"
"平成23年(2011年)","x","x","96.0","106.0","0.0","4.0","x","x","x","x"
"平成24年(2012年)","x","x","99.0","91.0","0.0","4.0","x","x","x","x"
"平成25年(2013年)","x","x","111.0","98.0","0.0","4.0","x","x","x","x"
"2013年 1～ 3月計","x","x","37.0","32.0","0.0","4.0","x","x","x","x"
"2013年 4～ 6月計","x","x","19.0","16.0","0.0","4.0","x","x","x","x"
"2013年 7～ 9月計","x","x","22.0","21.0","0.0","4.0","x","x","x","x"
"2013年10～12月計","x","x","33.0","30.0","0.0","4.0","x","x","x","x"
"","","","","","","","","","",""
"平成26年(2014年)","x","x","114.0","83.0","0.0","4.0","x","x","x","x"
"2014年 1～ 3月計","x","x","31.0","22.0","0.0","4.0","x","x","x","x"
"2014年 4～ 6月計","x","x","24.0","19.0","0.0","4.0","x","x","x","x"
"2014年 7～ 9月計","x","x","29.0","15.0","0.0","4.0","x","x","x","x"
"2014年10～12月計","x","x","30.0","27.0","0.0","4.0","x","x","x","x"
